"id","name","title","gender","birth_date","death_date","min_offset_to_royal","min_dist_to_royal","x","y"
"I55","David Albert Charle (Armstrong-Jones)","Vicount Linley","M",1961,,"6","3",71.5979460869526,468.031857154517
"I56","Sarah Frances Elizabet (Armstrong-Jones)","Lady","F",1964,,"6","3",78.195441629314,447.219249766031
"I57","Philip  (Mountbatten)","Prince","M",1921,,"6","1",85.4618409845314,621.350214301361
"I58","Charles Philip Arthu (Windsor)","Prince","M",1948,,"6","1",42.6255150166239,504.660477655467
"I59","Anne Elizabeth Alic (Windsor)","Princess","F",1950,,"6","1",89.942637188092,501.594378406721
"I60","Andrew Albert Christia (Windsor)","Duke of York","M",1960,,"6","1",56.7552397387572,462.361444076176
"I61","Edward Anthony Richar (Windsor)","Prince","M",1964,,"6","1",92.0838217280101,454.915612205967
"I62","Mark Anthony Pete (Phillips)","Captain","M",1948,,"6","2",58.1811109503181,498.82781981614
"I63","Peter Mark Andre (Phillips)","","M",1977,,"6","2",79.0571831614177,386.608767980931
"I64","Zara Anne Elizabet (Phillips)","","F",1981,,"6","2",80.4230728776029,365.350258455107
"I65","Diana Frances (Spencer)","Lady","F",1961,1997,"6","2",36.9336436381209,452.189424931874
"I66","Marina of Greece","Princess","F",1906,1968,"6","4",81.7763226963096,675.265017942064
"I67","Edward George Nichola (Windsor)","Duke of Kent","M",1935,,"6","4",96.7875965332838,565.852431414471
"I68","Henry George Charle (Lascelles)","Viscount","M",1882,1947,"6","4",34.5273609198064,762.046768636492
"I69","Alice Christabel (Montagu-Douglas)","Lady","F",1901,,"6","4",145.465922444799,694.971808457462
"I70","Bessiewallis  (Warfield)","","F",1896,1986,"6","4",52.6389306772198,735.480147676462
"I71","Charles Haakon VII","King of Norway","M",1872,1957,"5","2",-144.668169183965,821.116387617438
"I72","Henry of Prussia","Prince","M",1862,1929,"8","5",239.06983113039,858.94165151467
"I73","Sigismund ","","M",1864,1866,"8","5",251.301362855428,858.258927471107
"I74","Victoria ","Princess","F",1866,1929,"8","5",290.505640014394,854.018498646379
"I75","Waldemar ","","M",1868,1879,"8","5",248.051616971219,847.247997857452
"I76","Sophie of Prussia","Queen of Greece","F",1870,1932,"8","3",241.911456519746,825.588438682784
"I77","Charlotte of Saxe- Meiningen","Duchess","F",1860,1919,"8","5",255.828365491345,872.93133105655
"I78","Margarete of Hesse","Princess","F",1872,1954,"8","5",272.001528735384,839.401130028227
"I79","Irene of Hesse","Princess","F",1866,1953,"6","5",170.273340962447,846.747495167906
"I80","Waldemar ","","M",1889,1945,"7","6",215.98944367561,772.38725264722
"I81","Henry ","","M",1900,1904,"7","6",206.780766140186,733.566891907063
"I82","Child #3 ","","M",1889,,"7","6",204.490343351421,772.591275484079
"I83","Ernest Louis of Hesse","Grand Duke","M",1868,1937,"6","5",75.3965748813389,831.290417426699
"I84","Elizabeth ""Ella""","Grand Duchess","F",1864,1918,"6","5",105.146983852306,859.394327214736
"I85","Mary ""May""","","F",1874,1878,"6","5",116.820222627998,825.286196645138
"I86","Frederick ","","M",1870,1873,"6","5",121.996938501478,843.399691735501
"I87","William Henry Andre (Windsor)","Prince","M",1941,1972,"6","4",110.65645642314,558.186027206396
"I88","Richard Alexander Walte (Windsor)","Prince","M",1944,,"6","4",87.2384280068798,528.398500758944
"I89","Birgitte of Denmark (von Deurs)","Duchess","F",1947,,"6","5",71.3099580339772,498.674725254334
